,Product_name,Price,Review
0,"boAt 10000 mAh Power Bank (22.5 W, Quick Charge 3.0)  (Carbon Black, Lithium-ion)",1299.0,4.2
1,"SAMSUNG 10000 mAh Power Bank (25 W, Fast Charging)  (Beige, Lithium-ion)",1999.0,4.3
2,"ORAIMO 20000 mAh Power Bank (12 w, Fast Charging)  (Blue, Lithium Polymer)",1099.0,4.1
3,"ORAIMO 20000 mAh Power Bank (12 w, Fast Charging)  (Black, Lithium Polymer)",1099.0,4.1
4,"ORAIMO 20000 mAh Power Bank (12 w, Fast Charging)  (White, Lithium Polymer)",1099.0,4.1
5,"Syska 10000 mAh Power Bank (Fast Charging)  (Elegant Black, Lithium Polymer)",799.0,3.7
6,"AJYE 20000 mAh Power Bank  (Black, Lithium-ion)",569.0,4.2
7,"Ambrane 10000 mAh Power Bank (12 W, Fast Charging)  (Blue, Lithium Polymer)",899.0,4.1
8,"Intex 20000 mAh Power Bank (12 W, Fast Charging)  (Navy Blue, Lithium Polymer)",1199.0,3.8
9,"Ambrane 20000 mAh Power Bank (20 W, Power Delivery 3.0, Quick Charge 3.0)  (Blue, Lithium Polymer)",1999.0,4.2
10,"Ambrane 10000 mAh Power Bank (12 W, Fast Charging)  (Black, Lithium Polymer)",899.0,4.1
11,"AJYE 20000 mAh Power Bank  (Black, Lithium-ion)",569.0,5.0
12,"Mi 10000 mAh Wireless Power Bank  (Black, Lithium Polymer)",2499.0,4.2
13,"Ambrane 20000 mAh Power Bank (20 W, Power Delivery 3.0, Quick Charge 3.0)  (Black, Lithium Polymer)",1999.0,4.2
14,"Ambrane 20000 mAh Power Bank (20 W, Power Delivery 3.0, Quick Charge 3.0)  (Green, Lithium Polymer)",1999.0,4.2
15,"conekt 10000 mAh Power Bank (20 W, Power Delivery 3.0)  (Blue, Lithium Polymer)",593.0,3.7
16,"Strongvolt 20000 mAh Power Bank (12 W)  (Black, Lithium-ion)",649.0,3.6
17,"AJYE 10000 mAh Power Bank  (Black, Lithium-ion)",569.0,3.7
18,"Binori 20000 mAh Power Bank (Fast Charging)  (White, Lithium-ion)",490.0,3.4
19,"Syska 20000 mAh Power Bank (18 W, Fast Charging)  (Pearl Black, Lithium Polymer)",1549.0,4.0
20,"Intex 10000 mAh Power Bank (12 W, Fast Charging)  (Coal Black, Lithium Polymer)",799.0,3.8
21,"AJYE 20000 mAh Power Bank  (Black, Lithium-ion)",569.0,3.5
22,"Ambrane 27000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Green, Lithium Polymer)",2399.0,4.2
23,"Intex 20000 mAh Power Bank (12 W, Fast Charging)  (Coal Black, Lithium Polymer)",1199.0,3.8
24,"conekt 10000 mAh Power Bank (20 W, Power Delivery 3.0)  (Black, Lithium Polymer)",599.0,3.7
25,"APPLE MagSafe Battery Pack Wireless Power Bank Compatible withIphone 12, Iphone 12 Pro, Iphone 12 Pro Max, Iphone 12 Mini, Iphone 13, Iphone 13 mini, Iphone 13 Pro , Iphone 13 Pro Max  (White, Lithium-ion)",9999.0,3.9
26,"AJYE 30000 mAh Power Bank  (Black, Lithium-ion)",569.0,1.7
27,"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Black, Lithium Polymer)",999.0,4.1
28,"Ambrane 27000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Black, Lithium Polymer)",2499.0,4.2
29,"Ambrane 10000 mAh Wireless Power Bank  (Black, Lithium Polymer)",2289.0,3.6
30,"Ambrane 20000 mAh Power Bank (10.5 W, Fast Charging)  (Green, Lithium Polymer)",1499.0,4.0
31,"Gizmore 10000 mAh Power Bank  (Black, Lithium Polymer)",599.0,3.6
32,"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Blue, Lithium Polymer)",999.0,4.1
